,Player,ShortName,Height,Weight,Position,BirthPlace,SeasonURL,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11905,Gary Harris,harriga01,6-4,210lb,Shooting Guard,Indiana,/players/h/harriga01/gamelog/2019/,2018-19,24.0,DEN,NBA,SG,11.0,11.0,33.5,6.8,14.9,0.457,1.4,4.6,0.294,5.5,10.3,0.531,0.503,3.5,4.3,0.809,0.9,2.9,3.8,3.1,1.1,0.5,1.2,2.0,18.5
11911,Joe Harris,harrijo01,6-6,219lb,Shooting Guard,Washington,/players/h/harrijo01/gamelog/2019/,2018-19,27.0,BRK,NBA,SG,11.0,11.0,30.2,5.0,9.2,0.545,2.8,5.1,0.5539999999999999,2.2,4.1,0.5329999999999999,0.698,0.5,0.7,0.75,0.7,2.5,3.3,2.5,0.5,0.2,1.5,2.8,13.4
11964,Tobias Harris,harrito02,6-9,235lb,Small Forward and Power Forward,New York,/players/h/harrito02/gamelog/2019/,2018-19,26.0,LAC,NBA,PF,11.0,11.0,33.6,7.8,15.2,0.515,1.8,4.4,0.417,6.0,10.8,0.555,0.575,3.3,4.0,0.818,1.1,7.6,8.7,1.9,0.3,0.6,1.5,1.8,20.7
11976,Andrew Harrison,harrian01,6-6,213lb,Point Guard,Texas,/players/h/harrian01/gamelog/2019/,2018-19,24.0,MEM,NBA,PG,1.0,0.0,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
11996,Shaquille Harrison,harrish01,6-4,190lb,Point Guard,Missouri,/players/h/harrish01/gamelog/2019/,2018-19,25.0,CHI,NBA,PG,3.0,0.0,12.0,2.7,5.3,0.5,0.7,1.7,0.4,2.0,3.7,0.545,0.563,1.7,3.3,0.5,1.0,1.7,2.7,2.7,0.7,0.0,1.0,2.3,7.7
12015,Josh Hart,hartjo01,6-5,209lb,Shooting Guard,Maryland,/players/h/hartjo01/gamelog/2019/,2018-19,23.0,LAL,NBA,SG,11.0,3.0,28.0,4.0,8.5,0.473,2.3,5.0,0.455,1.7,3.5,0.5,0.608,1.8,2.5,0.7140000000000001,0.4,3.5,3.9,1.2,1.7,0.5,1.1,2.5,12.1
12065,Udonis Haslem,hasleud01,6-8,235lb,Power Forward and Center,Florida,/players/h/hasleud01/gamelog/2019/,2018-19,38.0,MIA,NBA,C,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
12283,Gordon Hayward,haywago01,6-8,226lb,Small Forward,Indiana,/players/h/haywago01/gamelog/2019/,2018-19,28.0,BOS,NBA,SF,10.0,10.0,25.0,3.8,9.5,0.4,1.3,3.9,0.333,2.5,5.6,0.446,0.468,1.0,1.5,0.667,1.0,4.6,5.6,2.2,0.8,0.3,1.2,1.7,9.9
12512,John Henson,hensojo01,6-11,229lb,Power Forward and Center,North Carolina,/players/h/hensojo01/gamelog/2019/,2018-19,28.0,MIL,NBA,C,11.0,0.0,14.9,2.5,5.3,0.466,0.7,2.2,0.333,1.7,3.1,0.5589999999999999,0.534,0.5,0.9,0.6,1.5,4.5,5.9,0.7,0.5,0.9,1.0,1.2,6.2
12541,Juan Hernangomez,hernaju01,6-9,230lb,Power Forward,Spain,/players/h/hernaju01/gamelog/2019/,2018-19,23.0,DEN,NBA,PF,10.0,0.0,19.8,2.4,4.9,0.49,1.3,3.0,0.433,1.1,1.9,0.579,0.622,0.7,0.9,0.778,1.6,2.5,4.1,0.5,0.5,0.6,0.5,1.5,6.8
12547,Willy Hernangomez,hernawi01,6-11,240lb,Center,Spain,/players/h/hernawi01/gamelog/2019/,2018-19,24.0,CHO,NBA,C,10.0,0.0,14.5,2.3,4.0,0.575,0.4,0.7,0.5710000000000001,1.9,3.3,0.5760000000000001,0.625,2.2,2.6,0.846,2.1,3.7,5.8,0.9,0.6,0.5,1.0,2.0,7.2
12621,Mario Hezonja,hezonma01,6-8,215lb,Small Forward,Croatia,/players/h/hezonma01/gamelog/2019/,2018-19,23.0,NYK,NBA,SF,12.0,0.0,18.9,3.7,9.6,0.383,1.0,3.8,0.267,2.7,5.8,0.457,0.435,0.6,1.3,0.467,0.3,3.3,3.5,1.2,0.8,0.1,1.3,1.7,8.9
12661,Buddy Hield,hieldbu01,6-4,214lb,Shooting Guard,Bahamas,/players/h/hieldbu01/gamelog/2019/,2018-19,25.0,SAC,NBA,SG,11.0,11.0,31.7,7.8,15.2,0.515,2.5,5.4,0.458,5.4,9.8,0.546,0.596,2.0,2.4,0.846,0.8,4.8,5.6,2.6,0.5,0.6,2.5,2.4,20.1
12779,George Hill,hillge01,6-3,188lb,Point Guard,Indiana,/players/h/hillge01/gamelog/2019/,2018-19,32.0,CLE,NBA,PG,10.0,10.0,26.5,5.0,9.0,0.556,1.2,2.5,0.48,3.8,6.5,0.585,0.622,1.4,1.6,0.875,0.8,1.1,1.9,3.0,1.0,0.1,1.6,2.7,12.6
12825,Solomon Hill,hillso01,6-7,225lb,Small Forward,California,/players/h/hillso01/gamelog/2019/,2018-19,27.0,NOP,NBA,SF,8.0,1.0,17.8,1.0,3.6,0.276,0.4,1.8,0.214,0.6,1.9,0.333,0.328,0.4,0.5,0.75,0.3,1.9,2.1,1.8,0.8,0.4,0.6,1.4,2.8
12986,Jrue Holiday,holidjr01,6-4,205lb,Point Guard and Shooting Guard,California,/players/h/holidjr01/gamelog/2019/,2018-19,28.0,NOP,NBA,SG,11.0,11.0,36.2,6.9,15.1,0.458,0.9,4.5,0.2,6.0,10.5,0.569,0.488,4.0,5.1,0.7859999999999999,1.0,3.5,4.5,8.8,1.5,0.6,3.5,2.5,18.7
12995,Justin Holiday,holidju01,6-6,181lb,Shooting Guard,California,/players/h/holidju01/gamelog/2019/,2018-19,29.0,CHI,NBA,SG,12.0,12.0,35.7,4.2,10.2,0.41,2.9,7.5,0.389,1.3,2.7,0.469,0.5529999999999999,0.8,0.8,0.9,0.3,3.3,3.6,2.4,1.6,0.4,0.6,2.3,12.0
13008,John Holland,hollajo02,6-5,205lb,Small Forward,New York,/players/h/hollajo02/gamelog/2019/,2018-19,30.0,CLE,NBA,SF,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13050,Rondae Hollis-Jefferson,holliro01,6-7,220lb,Small Forward,Pennsylvania,/players/h/holliro01/gamelog/2019/,2018-19,24.0,BRK,NBA,SF,8.0,0.0,21.0,4.0,9.4,0.4270000000000001,0.0,0.8,0.0,4.0,8.6,0.464,0.4270000000000001,1.3,2.3,0.556,0.8,4.6,5.4,1.5,0.6,0.5,0.8,1.5,9.3
13057,Richaun Holmes,holmeri01,6-10,245lb,Power Forward and Center,Illinois,/players/h/holmeri01/gamelog/2019/,2018-19,25.0,PHO,NBA,C,10.0,0.0,8.2,1.1,1.8,0.611,0.0,0.0,,1.1,1.8,0.611,0.611,0.4,0.7,0.5710000000000001,1.3,2.0,3.3,0.4,0.3,0.5,0.9,1.5,2.6
13106,Rodney Hood,hoodro01,6-8,206lb,Shooting Guard,Mississippi,/players/h/hoodro01/gamelog/2019/,2018-19,26.0,CLE,NBA,SG,11.0,11.0,27.2,4.5,10.5,0.431,0.9,2.5,0.37,3.6,8.1,0.449,0.474,2.3,2.5,0.926,0.4,2.5,2.8,2.3,0.9,0.1,0.7,2.6,12.3
13166,Al Horford,horfoal01,6-10,245lb,Center,Dominican Republic,/players/h/horfoal01/gamelog/2019/,2018-19,32.0,BOS,NBA,C,11.0,11.0,30.0,4.7,10.5,0.448,1.4,4.5,0.3,3.4,6.0,0.561,0.513,1.1,1.6,0.667,1.8,4.4,6.2,3.9,0.6,1.5,1.6,1.9,11.9
13286,Dwight Howard,howardw01,6-11,265lb,Power Forward and Center,Georgia,/players/h/howardw01/gamelog/2019/,2018-19,33.0,WAS,NBA,C,3.0,3.0,29.0,4.7,7.3,0.636,0.0,0.0,,4.7,7.3,0.636,0.636,3.3,5.3,0.625,2.3,5.7,8.0,1.0,1.0,0.7,0.7,3.7,12.7
13629,Serge Ibaka,ibakase01,6-10,235lb,Power Forward and Center,Republic of the Congo,/players/i/ibakase01/gamelog/2019/,2018-19,29.0,TOR,NBA,C,12.0,7.0,26.6,7.4,12.5,0.593,0.7,2.3,0.28600000000000003,6.8,10.2,0.664,0.62,2.2,2.9,0.743,2.4,5.5,7.9,1.0,0.8,1.4,2.1,3.3,17.7
13645,Andre Iguodala,iguodan01,6-6,215lb,Shooting Guard and Small Forward,Illinois,/players/i/iguodan01/gamelog/2019/,2018-19,35.0,GSW,NBA,SF,10.0,0.0,18.7,1.2,3.1,0.387,0.4,1.4,0.28600000000000003,0.8,1.7,0.471,0.452,0.3,0.6,0.5,0.5,1.9,2.4,2.7,0.9,0.7,1.0,1.4,3.1
13690,Ersan Ilyasova,ilyaser01,6-10,235lb,Power Forward,Turkey,/players/i/ilyaser01/gamelog/2019/,2018-19,31.0,MIL,NBA,PF,11.0,1.0,23.2,3.2,6.2,0.515,1.2,2.9,0.406,2.0,3.3,0.611,0.61,1.5,1.7,0.8420000000000001,1.4,5.4,6.7,1.5,0.8,0.3,0.7,2.9,9.0
13715,Joe Ingles,inglejo01,6-8,226lb,Small Forward,Australia,/players/i/inglejo01/gamelog/2019/,2018-19,31.0,UTA,NBA,SF,11.0,11.0,33.7,4.5,11.0,0.413,2.5,6.6,0.37,2.1,4.4,0.479,0.525,1.1,1.8,0.6,0.3,4.0,4.3,4.2,1.7,0.2,2.8,2.4,12.6
13723,Brandon Ingram,ingrabr01,6-9,190lb,Shooting Guard and Small Forward,North Carolina,/players/i/ingrabr01/gamelog/2019/,2018-19,21.0,LAL,NBA,SG,7.0,7.0,30.7,6.4,13.1,0.489,0.9,2.1,0.4,5.6,11.0,0.506,0.522,2.4,3.6,0.68,1.0,3.0,4.0,1.9,0.9,1.1,2.6,2.9,16.1
13748,Kyrie Irving,irvinky01,6-3,193lb,Point Guard,Australia,/players/i/irvinky01/gamelog/2019/,2018-19,26.0,BOS,NBA,PG,11.0,11.0,32.6,7.8,16.4,0.478,2.8,6.7,0.419,5.0,9.6,0.519,0.564,2.5,3.0,0.848,0.9,4.1,5.0,5.4,1.2,0.7,2.5,2.3,21.0
13751,Jonathan Isaac,isaacjo01,6-10,210lb,Power Forward and Small Forward,New York,/players/i/isaacjo01/gamelog/2019/,2018-19,21.0,ORL,NBA,SF,8.0,8.0,22.0,2.8,6.6,0.415,0.6,2.4,0.263,2.1,4.3,0.5,0.462,1.0,1.4,0.727,1.4,4.0,5.4,0.5,0.8,1.0,0.8,2.1,7.1
13811,Wesley Iwundu,iwundwe01,6-7,193lb,Small Forward,Texas,/players/i/iwundwe01/gamelog/2019/,2018-19,24.0,ORL,NBA,SF,7.0,3.0,17.3,1.6,5.1,0.306,0.0,0.7,0.0,1.6,4.4,0.355,0.306,1.7,2.3,0.75,0.7,1.7,2.4,0.1,0.3,0.1,0.6,1.9,4.9
13923,Josh Jackson,jacksjo02,6-8,207lb,Shooting Guard and Small Forward,California,/players/j/jacksjo02/gamelog/2019/,2018-19,21.0,PHO,NBA,SG,11.0,3.0,18.0,2.8,6.7,0.419,0.5,2.1,0.261,2.3,4.6,0.49,0.459,0.7,1.4,0.5329999999999999,0.0,1.8,1.8,1.8,0.5,0.6,3.0,2.6,6.9
13926,Justin Jackson,jacksju01,6-8,200lb,Small Forward,Texas,/players/j/jacksju01/gamelog/2019/,2018-19,23.0,SAC,NBA,SF,11.0,2.0,24.5,3.0,6.9,0.434,0.9,3.5,0.263,2.1,3.5,0.605,0.5,0.7,1.0,0.727,0.5,2.5,3.0,1.8,0.6,0.2,0.5,1.2,7.6
14026,Reggie Jackson,jacksre01,6-3,208lb,Point Guard,Italy,/players/j/jacksre01/gamelog/2019/,2018-19,28.0,DET,NBA,PG,10.0,10.0,30.4,5.1,14.2,0.359,2.1,6.9,0.304,3.0,7.3,0.411,0.433,3.9,4.7,0.83,0.8,1.9,2.7,3.7,0.3,0.1,1.8,3.3,16.2
14146,LeBron James,jamesle01,6-8,250lb,Shooting Guard and Power Forward and Small Forward,Ohio,/players/j/jamesle01/gamelog/2019/,2018-19,34.0,LAL,NBA,PF,11.0,11.0,35.4,9.6,19.3,0.5,1.6,5.5,0.295,8.0,13.7,0.583,0.542,5.6,7.4,0.765,0.8,7.1,7.9,7.8,1.5,0.8,3.2,2.0,26.5
14357,Jonas Jerebko,jerebjo01,6-10,231lb,Power Forward,Sweden,/players/j/jerebjo01/gamelog/2019/,2018-19,31.0,GSW,NBA,PF,12.0,0.0,16.5,2.1,4.7,0.446,1.0,2.5,0.4,1.1,2.2,0.5,0.5539999999999999,1.4,1.7,0.85,1.0,3.4,4.4,1.5,0.5,0.2,0.8,2.5,6.6
14392,Amir Johnson,johnsam01,6-9,240lb,Small Forward and Power Forward and Center,California,/players/j/johnsam01/gamelog/2019/,2018-19,31.0,PHI,NBA,C,12.0,0.0,11.0,1.8,2.9,0.629,0.1,0.3,0.333,1.8,2.7,0.6559999999999999,0.643,1.2,1.5,0.778,0.8,2.7,3.4,1.3,0.3,0.3,1.3,2.3,4.9
14877,Stanley Johnson,johnsst04,6-7,245lb,Small Forward,California,/players/j/johnsst04/gamelog/2019/,2018-19,22.0,DET,NBA,SF,9.0,7.0,26.1,2.7,7.3,0.364,1.2,4.3,0.282,1.4,3.0,0.481,0.447,0.4,0.6,0.8,0.7,3.7,4.3,1.7,0.7,0.2,2.0,2.2,7.0
14926,Tyler Johnson,johnsty01,6-4,186lb,Point Guard and Shooting Guard,North Dakota,/players/j/johnsty01/gamelog/2019/,2018-19,26.0,MIA,NBA,PG,10.0,0.0,24.5,3.5,8.0,0.438,1.0,3.8,0.263,2.5,4.2,0.595,0.5,1.3,2.1,0.619,0.3,2.2,2.5,2.1,1.4,0.4,1.2,1.6,9.3
14952,Wesley Johnson,johnswe01,6-7,215lb,Shooting Guard and Small Forward,Texas,/players/j/johnswe01/gamelog/2019/,2018-19,31.0,NOP,NBA,SF,5.0,3.0,17.8,2.0,4.2,0.476,1.2,2.6,0.462,0.8,1.6,0.5,0.619,0.6,0.8,0.75,0.4,2.0,2.4,0.6,0.8,0.6,1.2,2.0,5.8
14977,Nikola Jokic,jokicni01,6-10,250lb,Center,Serbia,/players/j/jokicni01/gamelog/2019/,2018-19,23.0,DEN,NBA,C,11.0,11.0,29.0,5.3,10.2,0.518,1.0,2.7,0.3670000000000001,4.3,7.5,0.573,0.5670000000000001,4.3,5.1,0.8390000000000001,2.1,7.6,9.7,7.4,1.3,0.9,3.1,3.4,15.8
15088,Damian Jones,jonesda03,7-0,245lb,Center,Louisiana,/players/j/jonesda03/gamelog/2019/,2018-19,23.0,GSW,NBA,C,12.0,12.0,16.4,2.7,3.5,0.762,0.0,0.0,,2.7,3.5,0.762,0.762,1.0,1.7,0.6,1.2,1.5,2.7,1.1,0.7,0.9,0.6,2.8,6.3
15112,Derrick Jones,jonesde02,6-7,190lb,Small Forward,Pennsylvania,/players/j/jonesde02/gamelog/2019/,2018-19,21.0,MIA,NBA,SF,7.0,3.0,16.4,2.1,5.9,0.366,0.4,1.3,0.333,1.7,4.6,0.375,0.402,1.3,1.9,0.6920000000000001,1.4,2.0,3.4,0.6,0.3,0.4,1.0,2.1,6.0
15360,Tyus Jones,jonesty01,6-2,195lb,Point Guard,Minnesota,/players/j/jonesty01/gamelog/2019/,2018-19,22.0,MIN,NBA,PG,11.0,2.0,20.1,2.1,6.7,0.311,0.9,2.7,0.333,1.2,4.0,0.295,0.378,0.2,0.2,1.0,0.3,1.2,1.5,3.3,1.1,0.1,0.5,1.0,5.3
15411,DeAndre Jordan,jordade01,6-11,265lb,Center,Texas,/players/j/jordade01/gamelog/2019/,2018-19,30.0,DAL,NBA,C,11.0,11.0,33.4,4.4,6.9,0.632,0.0,0.0,,4.4,6.9,0.632,0.632,3.4,4.0,0.841,3.0,10.9,13.9,2.5,0.6,1.5,2.5,3.1,12.1
15493,Cory Joseph,josepco01,6-3,193lb,Shooting Guard and Point Guard,Canada,/players/j/josepco01/gamelog/2019/,2018-19,27.0,IND,NBA,PG,12.0,0.0,24.8,2.6,5.5,0.47,0.8,1.8,0.409,1.8,3.7,0.5,0.5379999999999999,0.3,0.6,0.429,0.2,2.8,3.0,3.3,1.2,0.3,0.9,1.6,6.2
15550,Frank Kaminsky,kaminfr01,7-0,242lb,Center and Power Forward,Illinois,/players/k/kaminfr01/gamelog/2019/,2018-19,25.0,CHO,NBA,PF,4.0,0.0,5.5,0.5,1.8,0.28600000000000003,0.0,0.8,0.0,0.5,1.0,0.5,0.28600000000000003,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.8,0.5,1.0
15561,Enes Kanter,kanteen01,6-11,245lb,Center,Switzerland,/players/k/kanteen01/gamelog/2019/,2018-19,26.0,NYK,NBA,C,12.0,5.0,27.3,6.3,11.3,0.551,0.1,0.4,0.2,6.2,10.9,0.565,0.555,2.8,3.4,0.8290000000000001,3.9,7.8,11.7,2.3,0.5,0.5,2.5,2.8,15.4
15735,Luke Kennard,kennalu01,6-6,206lb,Shooting Guard,Ohio,/players/k/kennalu01/gamelog/2019/,2018-19,22.0,DET,NBA,SG,3.0,1.0,14.3,2.7,4.0,0.667,0.3,0.7,0.5,2.3,3.3,0.7,0.708,0.0,0.0,,0.0,1.7,1.7,1.0,0.3,0.3,0.3,0.7,5.7
15897,Michael Kidd-Gilchrist,kiddgmi01,6-7,232lb,Power Forward and Small Forward,Pennsylvania,/players/k/kiddgmi01/gamelog/2019/,2018-19,25.0,CHO,NBA,PF,11.0,0.0,21.2,3.5,7.1,0.487,0.2,0.6,0.28600000000000003,3.3,6.5,0.507,0.5,1.5,2.2,0.708,2.3,3.6,5.9,1.5,0.3,1.4,0.7,3.0,8.6
16106,Maxi Kleber,klebima01,6-10,220lb,Power Forward,Germany,/players/k/klebima01/gamelog/2019/,2018-19,27.0,DAL,NBA,PF,11.0,0.0,18.1,2.4,5.2,0.456,1.0,3.1,0.324,1.4,2.1,0.652,0.5529999999999999,0.8,1.2,0.6920000000000001,1.2,2.7,3.9,0.4,0.3,1.3,0.6,1.3,6.5
16291,Furkan Korkmaz,korkmfu01,6-7,185lb,Shooting Guard,Turkey,/players/k/korkmfu01/gamelog/2019/,2018-19,21.0,PHI,NBA,SG,6.0,0.0,5.0,0.5,1.2,0.429,0.0,0.7,0.0,0.5,0.5,1.0,0.429,0.0,0.0,,0.0,0.8,0.8,0.0,0.2,0.0,0.0,0.5,1.0
16297,Luke Kornet,kornelu01,7-1,250lb,Power Forward,Texas,/players/k/kornelu01/gamelog/2019/,2018-19,23.0,NYK,NBA,PF,4.0,0.0,3.3,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0
16321,Kyle Korver,korveky01,6-7,212lb,Shooting Guard and Power Forward and Small Forward,California,/players/k/korveky01/gamelog/2019/,2018-19,37.0,CLE,NBA,PF,10.0,0.0,14.9,1.8,4.1,0.439,1.0,2.8,0.35700000000000004,0.8,1.3,0.615,0.561,0.7,0.8,0.875,0.0,1.3,1.3,1.4,0.2,0.0,1.3,1.6,5.3
16344,Kosta Koufos,koufoko01,7-0,265lb,Center,Ohio,/players/k/koufoko01/gamelog/2019/,2018-19,29.0,SAC,NBA,C,5.0,0.0,13.2,2.2,4.4,0.5,0.0,0.0,,2.2,4.4,0.5,0.5,0.0,0.0,,1.2,3.2,4.4,0.8,0.8,0.4,0.4,2.2,4.4
16500,Kyle Kuzma,kuzmaky01,6-9,220lb,Small Forward and Power Forward,Michigan,/players/k/kuzmaky01/gamelog/2019/,2018-19,23.0,LAL,NBA,SF,11.0,9.0,31.8,7.6,15.5,0.494,1.7,5.5,0.311,5.9,9.9,0.596,0.55,2.2,2.9,0.75,0.5,4.3,4.8,1.5,0.3,0.6,1.2,2.6,19.2
16510,Skal Labissiere,labissk01,6-11,225lb,Power Forward,Haiti,/players/l/labissk01/gamelog/2019/,2018-19,22.0,SAC,NBA,PF,5.0,0.0,5.6,0.8,1.8,0.444,0.2,1.0,0.2,0.6,0.8,0.75,0.5,0.8,0.8,1.0,0.2,1.2,1.4,0.4,0.2,0.0,0.6,1.2,2.6
16628,Jeremy Lamb,lambje01,6-5,185lb,Shooting Guard and Small Forward,Virginia,/players/l/lambje01/gamelog/2019/,2018-19,26.0,CHO,NBA,SG,11.0,11.0,24.5,4.5,10.5,0.422,1.3,3.7,0.341,3.2,6.8,0.467,0.483,1.8,2.0,0.909,0.8,3.6,4.5,1.5,1.1,0.5,0.7,2.0,12.0
16832,Zach LaVine,lavinza01,6-5,200lb,Point Guard and Shooting Guard,Washington,/players/l/lavinza01/gamelog/2019/,2018-19,23.0,CHI,NBA,SG,12.0,12.0,35.8,9.3,20.1,0.461,2.3,6.6,0.354,6.9,13.5,0.512,0.519,6.6,7.8,0.8490000000000001,0.3,4.8,5.0,3.8,0.9,0.8,4.0,2.9,27.4
16870,Jake Layman,laymaja01,6-9,210lb,Small Forward,Massachusetts,/players/l/laymaja01/gamelog/2019/,2018-19,24.0,POR,NBA,SF,12.0,12.0,14.5,2.3,4.2,0.54,0.8,1.8,0.409,1.5,2.3,0.643,0.63,0.1,0.2,0.5,0.8,1.8,2.6,0.3,0.5,0.3,0.4,1.0,5.3
16881,T.J. Leaf,leaftj01,6-10,222lb,Power Forward,Israel,/players/l/leaftj01/gamelog/2019/,2018-19,21.0,IND,NBA,PF,7.0,0.0,7.6,0.6,2.4,0.235,0.1,0.6,0.25,0.4,1.9,0.231,0.265,0.0,0.0,,0.4,1.0,1.4,0.4,0.0,0.1,0.3,0.4,1.3
16967,Damion Lee,leeda03,6-6,210lb,Shooting Guard,Maryland,/players/l/leeda03/gamelog/2019/,2018-19,26.0,GSW,NBA,SG,3.0,0.0,6.0,0.7,2.0,0.333,0.3,0.7,0.5,0.3,1.3,0.25,0.417,1.0,1.3,0.75,0.0,0.7,0.7,0.0,0.3,0.0,0.3,2.0,2.7
17071,Alex Len,lenal01,7-1,260lb,Center,Ukraine,/players/l/lenal01/gamelog/2019/,2018-19,25.0,ATL,NBA,C,11.0,11.0,22.5,4.1,7.7,0.529,0.6,1.9,0.333,3.5,5.8,0.594,0.5710000000000001,1.7,2.7,0.633,1.5,3.8,5.4,1.3,0.5,1.3,1.8,2.7,10.5
17103,Kawhi Leonard,leonaka01,6-7,230lb,Small Forward,California,/players/l/leonaka01/gamelog/2019/,2018-19,27.0,TOR,NBA,SF,8.0,8.0,33.6,9.3,18.8,0.493,1.9,4.3,0.441,7.4,14.5,0.509,0.5429999999999999,5.6,6.3,0.9,1.3,6.8,8.0,3.3,1.8,0.5,2.0,1.5,26.0
17111,Meyers Leonard,leoname01,7-1,245lb,Power Forward and Center,Virginia,/players/l/leoname01/gamelog/2019/,2018-19,26.0,POR,NBA,C,9.0,0.0,10.6,1.2,2.7,0.458,0.6,1.7,0.333,0.7,1.0,0.667,0.563,1.4,1.4,1.0,1.0,2.8,3.8,1.0,0.3,0.1,0.9,1.6,4.4
17152,Jon Leuer,leuerjo01,6-10,228lb,Power Forward and Center,Minnesota,/players/l/leuerjo01/gamelog/2019/,2018-19,29.0,DET,NBA,PF,3.0,0.0,11.0,1.3,2.3,0.5710000000000001,0.0,0.7,0.0,1.3,1.7,0.8,0.5710000000000001,0.7,1.3,0.5,1.0,2.3,3.3,0.0,0.3,0.0,0.0,0.7,3.3
17172,Caris LeVert,leverca01,6-7,203lb,Small Forward,Ohio,/players/l/leverca01/gamelog/2019/,2018-19,24.0,BRK,NBA,SF,11.0,11.0,31.5,7.7,15.7,0.491,1.6,4.6,0.353,6.1,11.1,0.5489999999999999,0.5429999999999999,3.5,4.4,0.792,1.0,3.6,4.6,3.9,1.5,0.4,2.5,2.6,20.5
17318,Damian Lillard,lillada01,6-3,195lb,Point Guard,California,/players/l/lillada01/gamelog/2019/,2018-19,28.0,POR,NBA,PG,12.0,12.0,33.8,8.8,18.8,0.465,2.8,7.3,0.379,6.0,11.6,0.518,0.5379999999999999,6.3,6.8,0.938,0.8,4.2,5.0,5.3,0.8,0.3,2.0,1.4,26.6
17328,Jeremy Lin,linje01,6-3,200lb,Point Guard and Shooting Guard,California,/players/l/linje01/gamelog/2019/,2018-19,30.0,ATL,NBA,PG,11.0,0.0,16.5,2.7,6.0,0.455,0.6,2.1,0.304,2.1,3.9,0.535,0.508,2.8,3.3,0.861,0.0,1.6,1.6,2.5,0.6,0.1,2.0,1.5,8.9
17392,Shaun Livingston,livinsh01,6-7,192lb,Point Guard and Shooting Guard,Illinois,/players/l/livinsh01/gamelog/2019/,2018-19,33.0,GSW,NBA,PG,4.0,0.0,14.3,2.3,4.0,0.563,0.0,0.0,,2.3,4.0,0.563,0.563,1.0,1.0,1.0,1.8,1.8,3.5,1.0,0.8,0.0,0.8,1.5,5.5
17558,Kevon Looney,looneke01,6-9,220lb,Center and Power Forward,Wisconsin,/players/l/looneke01/gamelog/2019/,2018-19,22.0,GSW,NBA,C,12.0,0.0,17.3,2.4,3.7,0.659,0.0,0.0,,2.4,3.7,0.659,0.659,1.3,1.7,0.75,2.1,3.0,5.1,1.4,0.3,0.7,0.8,2.1,6.1
17570,Brook Lopez,lopezbr01,7-0,275lb,Center,California,/players/l/lopezbr01/gamelog/2019/,2018-19,30.0,MIL,NBA,C,11.0,11.0,24.9,3.8,8.7,0.438,2.3,6.2,0.368,1.5,2.5,0.607,0.568,1.1,1.1,1.0,0.4,2.7,3.1,1.1,0.3,1.6,0.8,2.2,11.0
17592,Robin Lopez,lopezro01,7-0,255lb,Center,California,/players/l/lopezro01/gamelog/2019/,2018-19,30.0,CHI,NBA,C,6.0,0.0,14.0,1.0,2.7,0.375,0.0,0.0,,1.0,2.7,0.375,0.375,0.2,0.2,1.0,1.3,0.8,2.2,1.5,0.2,1.3,1.3,1.8,2.2
